Kode,Nama,Sektor,Syariah
AALI,Astra Agro Lestari Tbk.,Consumer Non-Cyclicals,True
ABBA,Mahaka Media Tbk.,Consumer Cyclicals,False
ABDA,Asuransi Bina Dana Arta Tbk.,Financials,False
ABMM,ABM Investama Tbk.,Energy,True
ACES,Aspirasi Hidup Indonesia Tbk.,Consumer Cyclicals,True
ACST,Acset Indonusa Tbk.,Infrastructures,True
ADES,Akasha Wira International Tbk.,Consumer Non-Cyclicals,True
ADHI,Adhi Karya (Persero) Tbk.,Infrastructures,True
AISA,FKS Food Sejahtera Tbk.,Consumer Non-Cyclicals,True
AKKU,Anugerah Kagum Karya Utama Tbk,Consumer Cyclicals,True
AKPI,Argha Karya Prima Industry Tbk,Basic Materials,True
AKRA,AKR Corporindo Tbk.,Energy,True
AKSI,Mineral Sumberdaya Mandiri Tbk,Transportation & Logistic,True
ALDO,Alkindo Naratama Tbk.,Basic Materials,True
ALKA,Alakasa Industrindo Tbk,Basic Materials,True
ALMI,Alumindo Light Metal Industry ,Basic Materials,False
ALTO,Tri Banyan Tirta Tbk.,Consumer Non-Cyclicals,False
AMAG,Asuransi Multi Artha Guna Tbk.,Financials,False
AMFG,Asahimas Flat Glass Tbk.,Industrials,True
AMIN,Ateliers Mecaniques D Indonesi,Industrials,True
AMRT,Sumber Alfaria Trijaya Tbk.,Consumer Non-Cyclicals,False
ANJT,Austindo Nusantara Jaya Tbk.,Consumer Non-Cyclicals,True
ANTM,ANTAM (Persero) Tbk.,Basic Materials,True
APEX,Apexindo Pratama Duta Tbk.,Energy,False
APIC,Pacific Strategic Financial Tb,Financials,False
APII,Arita Prima Indonesia Tbk.,Industrials,True
APLI,Asiaplast Industries Tbk.,Basic Materials,True
APLN,Agung Podomoro Land Tbk.,Properties & Real Estate,True
ARGO,Argo Pantes Tbk,Properties & Real Estate,True
ARII,Atlas Resources Tbk.,Energy,True
ARNA,Arwana Citramulia Tbk.,Industrials,True
ARTA,Arthavest Tbk,Consumer Cyclicals,True
ARTI,Ratu Prabu Energi Tbk,Energy,False
ARTO,Bank Jago Tbk.,Financials,False
ASBI,Asuransi Bintang Tbk.,Financials,False
ASDM,Asuransi Dayin Mitra Tbk.,Financials,False
ASGR,Astra Graphia Tbk.,Industrials,True
ASII,Astra International Tbk.,Industrials,True
ASJT,Asuransi Jasa Tania Tbk.,Financials,False
ASMI,Asuransi Maximus Graha Persada,Financials,False
ASRI,Alam Sutera Realty Tbk.,Properties & Real Estate,True
ASRM,Asuransi Ramayana Tbk.,Financials,False
ASSA,Adi Sarana Armada Tbk.,Transportation & Logistic,True
ATIC,Anabatic Technologies Tbk.,Technology,True
AUTO,Astra Otoparts Tbk.,Consumer Cyclicals,True
BABP,Bank MNC Internasional Tbk.,Financials,False
